id,clasificacion,tipo_de_muestra,subtipo_de_muestra,analisis,naturaleza,unidades,cantidad_de_toma,tecnica,limite_maximo_permisible,NOM,UNIDADES_g_O_mL,Unidad,nom_Nombre,descripcion
38,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Vibrio cholerae,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.Técnicas para la investigación de Vibrio cholerae.,Vibrio cholerae en 50 g: AUSENCIA,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
39,COCIDO,Alimentos,Salsas y purés,Coliformes totales,NORMATIVO,UFC/g,300,NOM-113-SSA1-1994. Método vaciado en placa para CT.,50 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos"
40,COCIDO,Alimentos,Salsas y purés,Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 g:  AUSENCIA,NOM-093-SSA1-1994,g,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos"
41,COCIDO,Alimentos,Salsas y purés,Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 mL:  AUSENCIA,NOM-093-SSA1-1994,mL,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos"
42,COCIDO,Alimentos,Salsas y purés,Mesofílicos aerobios,NORMATIVO,UFC/g,300,NOM-092-SSA1-1994. Método vaciado en placa para bacterias aerobias.,5 000 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos"
43,COCIDO,Alimentos,Salsas y purés,Vibrio cholerae,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.Técnicas para la investigación de Vibrio cholerae.,Vibrio cholerae en 50 g: AUSENCIA,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos"
44,COCIDO,Ensaladas,Rusas y mixtas cocidas,Coliformes totales,NORMATIVO,UFC/g,300,NOM-113-SSA1-1994. Método vaciado en placa para CT.,< 100 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas."
45,COCIDO,Ensaladas,Rusas y mixtas cocidas,Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 g:  AUSENCIA,NOM-093-SSA1-1994,g,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas."
46,COCIDO,Ensaladas,Rusas y mixtas cocidas,Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 mL:  AUSENCIA,NOM-093-SSA1-1994,mL,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas."
47,COCIDO,Ensaladas,Rusas y mixtas cocidas,Mesofílicos aerobios,NORMATIVO,UFC/g,300,NOM-092-SSA1-1994. Método vaciado en placa para bacterias aerobias.,100 000 UCF/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas."
48,COCIDO,Ensaladas,Rusas y mixtas cocidas,Vibrio cholerae,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.Técnicas para la investigación de Vibrio cholerae.,Vibrio cholerae en 50 g: AUSENCIA,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas."
49,COCIDO,Leche y derivados lácteos,Mantequilla en planta,Coliformes totales,NORMATIVO,UFC/g,300,NOM-113-SSA1-1994. Método vaciado en placa para CT.,≤ 10 UFC/g,NOM-243-SSA1-2010,g,g,"Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba.","NOM-243-SSA1-2010. Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba. 6.1.8. Especificaciones Microbiológicas."
50,COCIDO,Leche y derivados lácteos,Mantequilla en planta,Coliformes totales,NORMATIVO,UFC/mL,300,NOM-113-SSA1-1994. Método vaciado en placa para CT.,≤ 10 UFC/mL,NOM-243-SSA1-2010,mL,g,"Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba.","NOM-243-SSA1-2010. Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba. 6.1.8. Especificaciones Microbiológicas."
51,COCIDO,Leche y derivados lácteos,Mantequilla en planta,Salmonella spp.,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice A Normativo. Método para el aislamiento de Salmonella spp.,Salmonella spp. en 25 g:  AUSENCIA,NOM-243-SSA1-2010,g,g,"Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba.","NOM-243-SSA1-2010. Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba. 6.1.8. Especificaciones Microbiológicas."
52,COCIDO,Leche y derivados lácteos,Mantequilla en planta,Salmonella spp.,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice A Normativo. Método para el aislamiento de Salmonella spp.,Salmonella spp. en 25 mL:  AUSENCIA,NOM-243-SSA1-2010,mL,g,"Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba.","NOM-243-SSA1-2010. Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba. 6.1.8. Especificaciones Microbiológicas."
