clasificacion,tipo_de_muestra,subtipo_de_muestra,analisis,naturaleza,unidades,cantidad_de_toma,tecnica,limite_maximo_permisible,NOM,UNIDADES g O mL,Unidad,nom_Nombre,descripcion,,,,,,,,,,,,,,,
AGUA PURIFICADA,Agua purificada,Alcalina,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
AGUA PURIFICADA,Agua purificada,Alcalina,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
AGUA PURIFICADA,Agua purificada,Carbojet,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
AGUA PURIFICADA,Agua purificada,Carbojet,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
AGUA PURIFICADA,Agua purificada,De osmosis,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
AGUA PURIFICADA,Agua purificada,De osmosis,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
HIELOS,Agua purificada,Hielo,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
HIELOS,Agua purificada,Hielo,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
AGUA PURIFICADA,Agua purificada,Purificada,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
AGUA PURIFICADA,Agua purificada,Purificada,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.",,,,,,,,,,,,,,,
AGUA RESIDUAL,Agua residual,,Escherichia coli,NORMATIVO,NMP/100 mL,100,NMX-AA-042-SCFI-2015. Método NMP para la enumeración de organismos CT-CF-EC. ,50 NMP/100 mL,NOM-001-SEMARNAT-2021,,mL,Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación.,"NOM-001-SEMARNAT-2021, Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación. 4. Especificaciones. ",,,,,,,,,,,,,,,
AGUA RESIDUAL,Agua residual,,Enterococcos fecales,NORMATIVO,NMP/100 mL,100,NMX-AA-167-SCFI-2017. Método NMP para la enumeración de organismos pátogenos: EF. ,50 NMP/100 mL,NOM-001-SEMARNAT-2021,,mL,Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación.,"NOM-001-SEMARNAT-2021, Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación. 4. Especificaciones. ",,,,,,,,,,,,,,,
AGUA RESIDUAL,Agua residual,,Huevos de Helmintos,NORMATIVO,Huevos/litro,5 000,NMX-AA-113-SCFI-2012. Método de prueba para la medición del número de huevos de Helmintos en aguas residuales.,1 Huevos/litro,NOM-001-SEMARNAT-2021,,mL,Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación.,"NOM-001-SEMARNAT-2021, Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación. 4. Especificaciones. ",,,,,,,,,,,,,,,
ALBERCA,Albercas y jacuzzis,,Acanthamoeba spp.,NORMATIVO,AUSENTE/ PRESENTE,600,NOM-245-SSA1-2010. Apéndice A Normativo - Patógenos.,AUSENTE,NOM-245-SSA1-2010,,mL,Requisitos sanitarios y calidad del agua que deben cumplir las albercas.,"NOM-245-SSA1-2010. Requisitos sanitarios y calidad del agua que deben cumplir las albercas. Cuadro 1. Límites permisibles de parámetros fisicoquímicos y microbiológicos, método de detección y frecuencia mínima de muestreo del agua de alberca.",,,,,,,,,,,,,,,
ALBERCA,Albercas y jacuzzis,,Coliformes fecales,NORMATIVO,NMP/100 mL,100,NOM-210-SSA1-2014. Apéndice H Normativo. Método NMP. CF.,< 40 NMP/100 mL,NOM-245-SSA1-2010,,mL,Requisitos sanitarios y calidad del agua que deben cumplir las albercas.,"NOM-245-SSA1-2010. Requisitos sanitarios y calidad del agua que deben cumplir las albercas. Cuadro 1. Límites permisibles de parámetros fisicoquímicos y microbiológicos, método de detección y frecuencia mínima de muestreo del agua de alberca.",,,,,,,,,,,,,,,
ALBERCA,Albercas y jacuzzis,,Legionella spp.,NORMATIVO,AUSENTE/ PRESENTE,1000,Norma UNE 100030:2017. Recuento de Legionella spp.,AUSENTE,Guías para la calidad del agua ,,mL,Cuarta edición.,"ISO 11731:2017, Calidad del Agua. Enumeración de Legionella spp.",,,,,,,,,,,,,,,
ALBERCA,Albercas y jacuzzis,,Naegleria spp.,NORMATIVO,AUSENTE/ PRESENTE,600,NOM-245-SSA1-2010. Apéndice A Normativo - Patógenos.,AUSENTE,NOM-245-SSA1-2010,,mL,Requisitos sanitarios y calidad del agua que deben cumplir las albercas.,"NOM-245-SSA1-2010. Requisitos sanitarios y calidad del agua que deben cumplir las albercas. Cuadro 1. Límites permisibles de parámetros fisicoquímicos y microbiológicos, método de detección y frecuencia mínima de muestreo del agua de alberca.",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Clostridium botulinum,NO NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.20. Determinación de Clostridium botulinum.,N/A,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Coliformes fecales,NO NORMATIVO,NMP/g,300,NOM-210-SSA1-2014. Apéndice H Normativo. Método del NMP-CF.,N/A,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Coliformes totales,NORMATIVO,UFC/g,300,NOM-113-SSA1-1994. Método vaciado en placa para CT.,< 10 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Escherichia coli,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice H Normativo. Método de NMP-EC.,< 3 NMP/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 g:  AUSENCIA,NOM-093-SSA1-1994,g,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 mL:  AUSENCIA,NOM-093-SSA1-1994,mL,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Mesofílicos aerobios,NORMATIVO,UFC/g,300,NOM-092-SSA1-1994. Método vaciado en placa para bacterias aerobias.,150 000 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Pseudomonas aeruginosa.,NO NORMATIVO,AUSENTE/ PRESENTE,300,NOM-201-SSA1-2015. Apéndice A.2.1. Método de prueba para la determinación Pseudomonas aeruginosa.,N/A,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Salmonella spp.,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice A Normativo. Método para el aislamiento de Salmonella spp.,Salmonella spp. en 25 g:  AUSENCIA,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Staphylococcus aureus,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice B Normativo. Método S. aureus.,AUSENTE,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Vibrio cholerae,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.Técnicas para la investigación de Vibrio cholerae.,Vibrio cholerae en 50 g: AUSENCIA,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos ",,,,,,,,,,,,,,,
COCIDO,Alimentos,Salsas y purés,Coliformes totales,NORMATIVO,UFC/g,300,NOM-113-SSA1-1994. Método vaciado en placa para CT.,50 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos",,,,,,,,,,,,,,,
COCIDO,Alimentos,Salsas y purés,Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 g:  AUSENCIA,NOM-093-SSA1-1994,g,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos",,,,,,,,,,,,,,,
COCIDO,Alimentos,Salsas y purés,Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 mL:  AUSENCIA,NOM-093-SSA1-1994,mL,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos",,,,,,,,,,,,,,,
COCIDO,Alimentos,Salsas y purés,Mesofílicos aerobios,NORMATIVO,UFC/g,300,NOM-092-SSA1-1994. Método vaciado en placa para bacterias aerobias.,5 000 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos",,,,,,,,,,,,,,,
COCIDO,Alimentos,Salsas y purés,Vibrio cholerae,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.Técnicas para la investigación de Vibrio cholerae.,Vibrio cholerae en 50 g: AUSENCIA,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Salsas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.1 Salsas y purés cocidos",,,,,,,,,,,,,,,
COCIDO,Ensaladas,Rusas y mixtas cocidas,Coliformes totales,NORMATIVO,UFC/g,300,NOM-113-SSA1-1994. Método vaciado en placa para CT.,< 100 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas.",,,,,,,,,,,,,,,
COCIDO,Ensaladas,Rusas y mixtas cocidas,Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 g:  AUSENCIA,NOM-093-SSA1-1994,g,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas.",,,,,,,,,,,,,,,
COCIDO,Ensaladas,Rusas y mixtas cocidas,Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 mL:  AUSENCIA,NOM-093-SSA1-1994,mL,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas.",,,,,,,,,,,,,,,
COCIDO,Ensaladas,Rusas y mixtas cocidas,Mesofílicos aerobios,NORMATIVO,UFC/g,300,NOM-092-SSA1-1994. Método vaciado en placa para bacterias aerobias.,100 000 UCF/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas.",,,,,,,,,,,,,,,
COCIDO,Ensaladas,Rusas y mixtas cocidas,Vibrio cholerae,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.Técnicas para la investigación de Vibrio cholerae.,Vibrio cholerae en 50 g: AUSENCIA,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. Rusas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.3.1 Ensaladas Rusas, mixtas cocidas.",,,,,,,,,,,,,,,
COCIDO,Leche y derivados lácteos,Mantequilla en planta,Coliformes totales,NORMATIVO,UFC/g,300,NOM-113-SSA1-1994. Método vaciado en placa para CT.,≤ 10 UFC/g,NOM-243-SSA1-2010,g,g,"Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba.","NOM-243-SSA1-2010. Productos y servicios. Leche, fórmula láctea, producto lácteo combinado y derivados lácteos. Disposiciones y especificaciones sanitarias. Métodos de prueba. 6.1.8. Especificaciones Microbiológicas.",,,,,,,,,,,,,,,
